CLASS,nombre,nAtom,nHeavyAtom,nH,nB,nC,nN,nO,nS,nP,nF,nCl,nBr,nI,nX,nBonds,nBonds2,nBondsS,nBondsS2,nBondsS3,nBondsD,nBondsD2,nBondsT,nBondsQ,nBondsM,nRing,n3Ring,n4Ring,n5Ring,n6Ring,n7Ring,n8Ring,n9Ring,n10Ring,n11Ring,n12Ring,nG12Ring,nFRing,nF4Ring,nF5Ring,nF6Ring,nF7Ring,nF8Ring,nF9Ring,nF10Ring,nF11Ring,nF12Ring,nFG12Ring,nTRing,nT4Ring,nT5Ring,nT6Ring,nT7Ring,nT8Ring,nT9Ring,nT10Ring,nT11Ring,nT12Ring,nTG12Ring,nHeteroRing,n3HeteroRing,n4HeteroRing,n5HeteroRing,n6HeteroRing,n7HeteroRing,n8HeteroRing,n9HeteroRing,n10HeteroRing,n11HeteroRing,n12HeteroRing,nG12HeteroRing,nFHeteroRing,nF4HeteroRing,nF5HeteroRing,nF6HeteroRing,nF7HeteroRing,nF8HeteroRing,nF9HeteroRing,nF10HeteroRing,nF11HeteroRing,nF12HeteroRing,nFG12HeteroRing,nTHeteroRing,nT4HeteroRing,nT5HeteroRing,nT6HeteroRing,nT7HeteroRing,nT8HeteroRing,nT9HeteroRing,nT10HeteroRing,nT11HeteroRing,nT12HeteroRing,nTG12HeteroRing,PBF,PMI1,PMI2,PMI3,NPR1,NPR2,RadiusOfGyration,InertialShapeFactor,Eccentricity,Asphericity,SpherocityIndex,BalabanJ,BertzCT,Ipc,HallKierAlpha,Kappa1,Kappa2,Kappa3,Chi0,Chi1,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,MolMR,MolWt,ExactMolWt,HeavyAtomCount,HeavyAtomMolWt,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAmideBonds,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,RingCount,FractionCSP3,NumSpiroAtoms,NumBridgeheadAtoms,TPSA,LabuteASA,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,EState_VSA10,EState_VSA11,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,VSA_EState10,MQNs_atom_counts_c,MQNs_atom_counts_f,MQNs_atom_counts_cl,MQNs_atom_counts_br,MQNs_atom_counts_i,MQNs_atom_counts_s,MQNs_atom_counts_p,MQNs_atom_counts_an,MQNs_atom_counts_cn,MQNs_atom_counts_ao,MQNs_atom_counts_co,MQNs_atom_counts_hac,MQNs_bond_counts_asb,MQNs_bond_counts_adb,MQNs_bond_counts_atb,MQNs_bond_counts_csb,MQNs_bond_counts_cdb,MQNs_bond_counts_ctb,MQNs_bond_counts_rbc,MQNs_polarity_counts_hbam,MQNs_polarity_counts_hba,MQNs_polarity_counts_hbdm,MQNs_polarity_counts_hbd,MQNs_polarity_counts_negc,MQNs_polarity_counts_posc,MQNs_topology_counts_asv,MQNs_topology_counts_adv,MQNs_topology_counts_atv,MQNs_topology_counts_aqv,MQNs_topology_counts_cdv,MQNs_topology_counts_ctv,MQNs_topology_counts_cqv,MQNs_topology_counts_r3,MQNs_topology_counts_r4,MQNs_topology_counts_r5,MQNs_topology_counts_r6,MQNs_topology_counts_r7,MQNs_topology_counts_r8,MQNs_topology_counts_rg,MQNs_topology_counts_rgIO,MQNs_topology_counts_afrc,MQNs_topology_counts_bfrc,MolLogP
h,082.mol2,105,51,54,0,33,6,12,0,0,0,0,0,0,0,51,105,96,91,37,9,9,0,0,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.962463297775614,2598.24906404941,63130.9259622512,64419.0331222572,0.040333561963253,0.980004245677494,9.46213565991087,0.000377178715943,0.999186270812083,0.88409820728913,0.042531446514219,4.33930052950316,3436.06493037864,3.00886045373947E+029,-4.2,9.66174886621315,24.0682523224516,18.0344479930378,85.1349455325326,45.731534424622,78.0822610585661,38.1287346193934,7.33443873282656,3.96123478518129,2.02475289121045,24.0822610585661,11.7986387850743,7.33443873282656,3.96123478518129,2.02475289121045,180.2899,726.825000000002,726.379971168002,51,672.393,9,18,13,8,18,32,288,5,0,1,1,0,1,1,0,0,0,1,0.636363636363636,0,0,272.6,373.511821431114,31.2938230183175,44.3958245675623,15.189653174896,0,0,16.7193135902078,71.5390755625221,94.1481706948123,31.2326392539802,20.8773615617053,2.8236841566564,18.9703577448662,17.7215391880545,5.96930528795185,130.975406216247,2.86239931446527,25.8092798814728,5.71971697572627,95.9656778689004,39.1675347816967,34.8755288283145,0,0,35.5052039347094,16.339343682303,136.624686456162,33.504086058231,0,139.596135491511,34.8755288283145,9.94096728501071,0,0,0,0,0,237.04294227082,0,0,0,0,0,0,30.5830807991459,74.4875016271359,28.7672231044309,0,439.195013582939,83.46079714536,9.75914689683172,-9.40352192855116,-19.16823596836,-23.8228888833889,-46.1906836351738,-42.5796272096568,0,0,33,0,0,0,0,0,0,4,2,12,0,51,90,9,0,6,0,0,32,30,18,0,0,0,0,6,6,14,19,0,4,2,0,0,0,1,0,0,0,0,0,0,-0.172099999999993
otro,083.mol2,134,70,64,0,41,13,16,0,0,0,0,0,0,0,72,137,126,115,50,11,11,0,0,22,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1.63469184844232,7409.11072403219,93113.7537940445,93946.3383937682,0.078865348567153,0.991137657795304,9.88031342021893,0.000133772823043,0.996885277650032,0.78452401275832,0.112334889962672,2.82605137009789,4855.60770787922,2.16016401853699E+044,-6.66,14.4895941646603,28.7404900386403,17.0827587472302,108.427474272416,59.3433364951662,97.8457493889212,47.8832438512069,10.7249802269907,6.43106819034734,3.68531227966189,32.8457493889212,16.6061562674604,10.7249802269907,6.43106819034734,3.68531227966189,242.0023,996.046000000002,995.467223000002,70,930.526,18,29,22,17,29,38,390,6,1,0,2,1,0,2,0,0,0,3,0.658536585365854,0,0,470.9,492.827515137255,88.936884410013,43.5465697537741,14.5730528890909,0,0,32.3435917226132,38.8404514069291,61.1792619412018,52.5304413180517,70.0888400580883,30.6498597052187,42.5990766622722,2.86239931446527,11.9386105759037,158.868406996007,10.0183976006284,52.4394886174835,15.7045264409976,137.443302174203,32.6085495387804,18.1701949196294,0,0,64.8361734698922,48.1982238020333,210.62653622446,43.1508346566464,0,147.259706508354,22.4610763900523,15.5302628616102,2.86239931446527,0,0,0,0,306.233447174768,0,0,0,0,0,0,50.730445323969,81.7086777430597,32.2383207795384,19.1781487362873,546.829146780488,139.829587326652,8.28047900174,-4.054662540016,-40.00440663275,-47.6166229180212,-68.2952131292467,-36.3849745555128,0,0,41,0,0,0,0,0,0,7,6,16,0,70,111,9,0,13,4,0,38,45,29,0,0,0,0,9,7,16,21,3,8,6,0,0,1,2,0,0,0,0,0,0,-6.95340000000003
x,085.mol2,60,34,26,0,18,2,14,0,0,0,0,0,0,0,33,59,52,50,24,7,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25271426553527,3111.33581451467,11197.5684964409,12361.2585660038,0.251700568991537,0.905859903880395,5.193450179919,0.00029114822632,0.967805157854274,0.428238214404583,0.272785057061557,8.12082133421649,1716.20528755053,312741065460.897,-3.79,8.45626033920116,13.0468907260271,10.6860976853649,48.6458998910125,26.6589910025383,41.609903257494,19.7543304484939,4.96898195171403,2.56047687359883,1.3344548583372,15.609903257494,7.50216522424696,4.96898195171403,2.56047687359883,1.3344548583372,105.338,494.406,494.138403512001,34,468.198,9,16,14,9,16,19,192,2,0,0,0,0,0,0,0,0,0,0,0.611111111111111,0,0,285.16,227.985320381197,46.3812840443273,19.1781487362873,14.3836115522155,0,0,0,19.1187747039881,28.4289965830395,26.8624581614877,6.01789246834965,14.0257857786238,14.6767587731683,7.15599828616317,29.8465264397592,95.4499972378033,10.0183976006284,10.6196267065768,0,61.8304683996227,6.49685968431595,0,0,0,41.6608858984623,10.6196267065768,104.001796325311,33.5617602885028,0,67.9133697641994,0,2.8236841566564,7.15599828616317,0,0,0,0,120.607840688978,0,0,0,0,0,0,35.7616573377505,36.1449772121786,33.5617602885028,0,200.917219805664,88.9526242946005,20.1654721672902,-9.89691592537571,-21.0412783874463,-5.32180121256764,-35.697516954956,-5.16113712054194,0,0,18,0,0,0,0,0,0,2,0,14,0,34,52,7,0,0,0,0,19,30,16,0,0,0,0,7,7,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.79669999999999
mix,086.mol2,113,56,57,0,33,7,16,0,0,0,0,0,0,0,55,112,103,97,40,9,9,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41948505374005,6077.78290737756,40974.3926711741,43271.3620472967,0.140457397683354,0.946917100191764,7.4768655188596,0.00015579975702,0.990086723189449,0.638956284625525,0.133881778135024,9.71245501857103,3605.7903425553,6.83044830631784E+032,-4.97,11.1500168384908,27.5849178434146,20.6381881660288,92.1873517753398,49.2498072624921,83.1624678159215,40.1395579368105,7.76389222455236,4.170511602756,2.18573236901214,26.1624678159215,12.6513247350638,7.76389222455236,4.170511602756,2.18573236901214,190.9662,807.852000000002,807.386178744002,56,750.396,14,23,17,13,23,37,320,6,0,0,0,0,0,0,0,0,0,0,0.727272727272727,0,0,384.65,403.330214381147,62.9216328888114,33.9767569254747,19.4468292771808,0,0,45.089441525272,38.8404514069291,56.7340583830924,34.0281467304677,26.895254030055,19.219246445541,41.1678770050396,4.2935989716979,17.9079158638556,149.269929745183,8.58719794339581,31.6122844914072,5.71971697572627,132.490507004792,19.4905790529478,0,0,0,53.3509942399646,32.2687837421682,160.372396911511,43.1508346566464,0,149.121500965863,0,11.31409420553,4.2935989716979,0,0,0,0,242.664081764838,0,0,0,0,0,0,35.8623829676871,78.8439100642453,33.5617602885028,9.58907436814364,460.057975468673,127.226922376293,10.6385128307551,-1.76426453036731,-33.6169528086577,-24.4980558589451,-81.2864628722934,-25.2576746054579,0,0,33,0,0,0,0,0,0,7,0,16,0,56,103,9,0,0,0,0,37,39,23,0,0,0,0,9,7,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.72420000000001
h,087.mol2,105,51,54,0,33,6,12,0,0,0,0,0,0,0,51,105,96,93,39,9,9,0,0,12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.06026996110651,11311.0542216354,15920.6878392086,25313.1625418022,0.44684476714264,0.628948983080134,6.01222711099131,5.5604806656934E-05,0.894611510141268,0.221318357350791,0.138825117289888,5.32816428885854,3084.95814272071,2.85918214494689E+028,-4.2,9.66174886621315,24.0682523224516,19.1141201347012,85.1349455325326,45.6218513148892,78.0822610585661,38.1676999244295,7.27956590862208,3.80354074086256,1.79974811300405,24.0822610585661,11.7596734800382,7.27956590862208,3.80354074086256,1.79974811300405,180.1257,726.825000000002,726.379971168002,51,672.393,9,18,15,6,18,9,288,3,0,0,1,0,0,1,0,0,0,1,0.636363636363636,0,0,278.58,373.673274160767,31.369739788579,44.3958245675623,15.189653174896,0,0,16.7193135902078,58.7932257598633,93.7760500116385,44.3506097398129,26.5247298750181,0,4.2935989716979,17.7215391880545,17.9079158638556,133.055199898289,0,15.189653174896,17.1591509271788,95.9656778689004,39.1675347816967,34.8755288283145,0,0,35.6294550519101,17.1591509271788,123.668921876683,42.9778119658311,0,139.596135491511,34.8755288283145,12.7646514416671,0,0,0,0,0,237.987000632897,0,0,0,0,0,0,29.8391903245315,74.4487864693271,28.7672231044309,0,456.128590328783,84.1646016472882,5.71328914818075,-14.0434213675464,-20.392825090145,-25.1010100992085,-48.725802207914,-46.4934223594379,0,0,33,0,0,0,0,0,0,3,3,9,3,51,63,6,0,33,3,0,9,30,18,0,0,0,0,6,3,3,3,3,15,18,0,0,0,0,0,0,0,1,0,0,0.614700000000006
c,088.mol2,138,75,63,0,48,9,18,0,0,0,0,0,0,0,78,141,132,105,42,9,9,0,0,36,4,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.56692259727945,29101.498257763,36360.2800721895,59462.0937199308,0.489412606203078,0.611486710230019,7.69788736141279,2.1012207165894E-05,0.87205234985608,0.193278482025252,0.178924131216605,2.67585731606768,4830.85652346251,5.8869316805037E+045,-8.43,16.2853993100657,29.3144866747606,17.3533574725596,109.648570721505,61.3781705676848,98.3733915878491,48.4567619049029,11.7532765056088,7.1190503337064,4.02271375468247,35.3733915878491,18.1407090161202,11.7532765056088,7.1190503337064,4.02271375468247,260.4627,1054.077,1053.429106176,75,990.573,18,27,21,15,27,33,408,6,3,1,1,0,1,1,3,0,0,4,0.4375,0,0,452.94,518.096448750968,93.8814690549525,28.7672231044309,14.3836115522155,0,0,18.1272561229899,113.101415410892,32.8982053480853,45.4762841546656,46.201685603767,61.0218008747216,17.7215391880545,26.3087371314503,17.9079158638556,166.640512632288,8.58719794339581,31.8588801197303,17.1591509271788,93.4636789220623,39.1675347816967,71.0721228440606,0,34.4970709997034,53.3509942399646,49.0180310469091,167.865930921798,42.9778119658311,0,150.114425166931,54.3817683689697,16.9421049399384,0,0,0,34.4970709997034,0,340.569432834397,0,0,0,0,0,0,44.8634380080434,74.7533603389882,26.8436891242214,28.7672231044309,550.232321541213,139.84951843784,10.3016322913923,-11.6403161161291,-47.5121054185257,-56.068207974736,-51.9958686963756,-34.4169740646791,0,0,48,0,0,0,0,0,0,9,0,15,3,75,102,9,0,21,9,0,33,45,27,0,0,0,0,9,6,15,15,3,21,6,0,0,0,3,0,0,0,1,0,0,-1.8996
otro,089.mol2,56,28,28,0,16,4,8,0,0,0,0,0,0,0,27,55,50,46,18,5,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.820507984070536,985.560116203447,11519.3266989908,11804.6805147837,0.083488927546084,0.975827061525675,5.48223066246031,0.000990124341968,0.996508704917927,0.771953894309307,0.098441997619927,7.64708778415207,1531.94671013868,30123505372.5928,-2.73,5.44803381355414,12.6201527676161,11.0825292588132,45.8174727662663,24.3415820132843,41.0548407057107,19.7166832423499,3.76625533088207,1.8353344942997,0.878105120566735,13.0548407057107,6.15029758445841,3.76625533088207,1.8353344942997,0.878105120566735,94.9302000000001,404.42,404.190713856001,28,376.196,6,12,8,6,12,17,160,4,0,0,0,0,0,0,0,0,0,0,0.6875,0,0,185.37,201.540507896886,26.1470564420795,24.3876825573311,9.85775490903717,0,0,0,12.7458498026588,60.6095344109437,21.9842265993151,0,9.83657704596829,26.4911182318713,1.43119965723263,5.96930528795185,75.2232502515794,2.86239931446527,20.9926577848305,0,44.7965346508926,25.9874387372638,0,0,0,29.5980242053579,15.9294400598651,83.1080813390615,23.9726859203591,0,69.3521720756538,0,5.66672589221724,1.43119965723263,0,0,0,0,121.374655378345,0,0,0,0,0,0,15.4271502032582,38.6858134424273,23.9726859203591,0,213.553503590264,63.8506471927562,4.7283369654199,-5.23177065026858,-14.6278765937736,0,-19.9631107634882,-26.726396407576,0,0,16,0,0,0,0,0,0,4,0,8,0,28,50,5,0,0,0,0,17,20,12,0,0,0,0,5,3,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.03129999999999
h,090.mol2,108,52,56,0,33,6,13,0,0,0,0,0,0,0,51,107,98,93,37,9,9,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3663664563274,3459.50442625731,1.90232074915845E+031,-4.24,9.88929043945682,26.5222890392964,20.5699632354129,87.8420523137191,47.1457479869951,80.49050934903,38.9452312003211,7.2323766602106,3.81750604589865,1.90237300341514,24.49050934903,11.7986387850743,7.2323766602106,3.81750604589865,1.90237300341514,184.0525,744.840000000002,744.390535852002,52,688.392,11,19,14,10,19,36,296,5,0,0,0,0,0,0,0,0,0,0,0.636363636363636,0,0,303.83,381.975856376118,36.7745764467319,39.6012873834905,19.9841903589679,0,0,16.7193135902078,77.9120004638514,94.3342310363993,30.6915464794136,14.8594690933557,2.8236841566564,20.4015574020988,19.1527388452872,5.96930528795185,136.456159644662,5.72479862893054,25.8092798814728,5.71971697572627,95.9656778689004,39.1675347816967,34.8755288283145,0,0,35.5052039347094,16.339343682303,148.273502495609,28.7672231044309,0,139.596135491511,34.8755288283145,9.94096728501071,1.43119965723263,0,0,0,0,237.04294227082,0,0,0,0,0,0,36.0638342275602,75.979142385431,20.5489072924575,9.58907436814364,454.692608283359,86.090927280301,14.5466489877976,-9.75657127877571,-21.4899909894199,-26.8141578662815,-49.4183411439082,-43.1011232730727,0,0,33,0,0,0,0,0,0,6,0,13,0,52,98,9,0,0,0,0,36,32,19,0,0,0,0,6,7,18,21,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.651999999999995
h,092.mol2,84,38,46,0,24,6,8,0,0,0,0,0,0,0,37,83,78,73,27,5,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09121619729186,3052.73890556443,30341.7839378267,32221.5082598743,0.094742272178675,0.941662435324654,7.74691782473211,0.000308464780138,0.995501834183354,0.742796883042367,0.077207815944962,7.65111836084653,2460.69849420995,2631705304385871,-2.81,6.39701017462875,22.1988267463688,19.321024669099,68.9721733046455,36.1343107848675,63.9492678967107,31.041617312306,4.80332276717247,2.37354054390322,1.06360019815972,17.9492678967107,8.52801805891459,4.80332276717247,2.37354054390322,1.06360019815972,136.6503,546.666000000002,546.337712432001,38,500.298000000001,7,14,9,6,14,27,220,5,0,0,0,0,0,0,0,0,0,0,0.791666666666667,0,0,205.84,289.025343300086,16.339343682303,39.6012873834905,15.189653174896,0,0,0,57.480258894951,110.06292249781,8.22455133702132,2.8236841566564,2.8236841566564,33.8294976184554,0,0,103.00183835914,0,25.8092798814728,5.71971697572627,83.3269909332482,38.9811581058957,0,0,0,29.5358986467575,16.339343682303,99.3353113906807,23.9726859203591,0,136.786574623887,0,9.94096728501071,0,0,0,0,0,183.373044543101,0,0,0,0,0,0,15.6286014631314,63.4005509756493,23.9726859203591,0,362.443058728133,66.3290249590378,2.40870285025381,-1.16178376069519,-15.8039072022747,0,-61.1600959138771,-33.4716663272442,0,0,24,0,0,0,0,0,0,6,0,8,0,38,78,5,0,0,0,0,27,22,14,0,0,0,0,5,3,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532000000000006
h,093.mol2,81,37,44,0,23,6,8,0,0,0,0,0,0,0,36,80,75,70,26,5,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985239813531117,5299.1365616429,16326.1889523835,20417.442772369,0.259539679906155,0.79961967492216,6.28223492767742,0.000150896219718,0.965732444600579,0.41513758151279,0.094170165423522,7.58106034263451,2355.74816379607,790946586128697,-2.81,6.32108344850468,21.2918399724969,19.030684878565,66.4721733046455,34.8843107848675,61.4492678967107,29.791617312306,4.67832276717247,2.31104054390322,1.03235019815972,17.4492678967107,8.27801805891459,4.67832276717247,2.31104054390322,1.03235019815972,132.0333,532.639000000001,532.322062368001,37,488.287,7,14,9,6,14,26,214,5,0,0,0,0,0,0,0,0,0,0,0.782608695652174,0,0,205.84,279.850460185354,16.339343682303,39.6012873834905,15.189653174896,0,0,6.37292490132938,44.7344090922922,107.32140538547,8.22455133702132,2.8236841566564,2.8236841566564,33.8294976184554,0,0,100.260321246799,0,25.8092798814728,5.71971697572627,76.9540660319189,38.9811581058957,0,0,0,29.5358986467575,16.339343682303,99.3353113906806,23.9726859203591,0,127.672132610217,0,9.94096728501071,0,0,0,0,0,177.000119641771,0,0,0,0,0,0,15.6286014631314,60.6590338633089,23.9726859203591,0,345.280940582575,66.2216383861423,2.46888593711612,-1.16659436871929,-15.739106023001,0,-55.3709131805497,-33.3615180002304,0,0,23,0,0,0,0,0,0,6,0,8,0,37,75,5,0,0,0,0,26,22,14,0,0,0,0,5,3,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141900000000005
h,094.mol2,87,39,48,0,25,6,8,0,0,0,0,0,0,0,38,86,81,76,28,5,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14629771354089,2762.75759621996,35531.8734405301,36615.2537752348,0.075453733386073,0.97041177588567,8.17319761723431,0.00035124752791,0.99714930382471,0.791582923696061,0.08091477684841,7.69139475493553,2566.24748944218,5.58934622348197E+016,-2.81,6.47567237343145,23.1099187009455,20.7810440795291,71.4721733046455,37.3843107848675,66.4492678967107,32.291617312306,4.92832276717247,2.43604054390322,1.09485019815972,18.4492678967107,8.77801805891459,4.92832276717247,2.43604054390322,1.09485019815972,141.2673,560.693000000002,560.353362496001,39,512.309000000001,7,14,9,6,14,28,226,5,0,0,0,0,0,0,0,0,0,0,0.8,0,0,205.84,298.200226414819,16.339343682303,39.6012873834905,15.189653174896,0,0,6.37292490132938,57.480258894951,112.80443961015,8.22455133702132,2.8236841566564,2.8236841566564,33.8294976184554,0,0,105.74335547148,0,25.8092798814728,5.71971697572627,89.6999158345776,38.9811581058957,0,0,0,29.5358986467575,16.339343682303,99.3353113906807,23.9726859203591,0,145.901016637556,0,9.94096728501071,0,0,0,0,0,189.74596944443,0,0,0,0,0,0,15.6286014631314,66.1420680879898,23.9726859203591,0,379.371100356429,66.5585974936213,2.27799235415542,-1.17781109659248,-15.9509464825083,0,-66.5098006878544,-33.7357986039176,0,0,25,0,0,0,0,0,0,6,0,8,0,39,81,5,0,0,0,0,28,22,14,0,0,0,0,5,3,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.922100000000006
h,095.mol2,92,42,50,0,27,6,9,0,0,0,0,0,0,0,41,91,85,79,29,6,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32790376090709,3220.83775029814,38903.0423102797,40031.6646936977,0.080457252401128,0.971806758673324,8.25547445371382,0.000301724841179,0.996758060181136,0.779173991152316,0.108536773123535,7.73157425916848,2777.28041869609,2.85660635964895E+022,-3.3,7.15145612764569,24.3131415520304,22.3959813070687,75.5495235738352,39.5063192527956,69.8575161871745,34.022134659788,5.34527873045594,2.59348748923697,1.1735736708266,19.8575161871745,9.45574900189651,5.34527873045594,2.59348748923697,1.1735736708266,150.8966,602.730000000002,602.363927180001,42,552.33,6,15,9,6,15,29,242,6,0,0,0,0,0,0,0,0,0,0,0.777777777777778,0,0,208.92,318.053488598348,15.9294400598651,44.3958245675623,15.189653174896,0,0,0,57.3563241119644,130.265467080273,8.22455133702132,0,4.2355262349846,39.7366773478069,0,0,113.238326245734,0,31.1190932347612,0,96.5518079518733,38.9811581058957,0,0,0,35.443078376109,15.9294400598651,105.242491120032,28.7672231044309,0,156.865184423363,0,8.5291252066825,0,0,0,0,0,202.095137668639,0,0,0,0,0,0,15.6286014631314,68.8425016781722,28.7672231044309,0,395.997740795104,78.9910095433657,0.706591998715627,0,-18.7704298685283,0,-67.6949257322664,-38.4799867363905,0,0,27,0,0,0,0,0,0,6,0,9,0,42,85,6,0,0,0,0,29,24,15,0,0,0,0,6,3,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09950000000001
